argument_id|frame_id|frame|topic_id|topic|premise|stance|conclusion|genericFrame|fuzzyFrame
853|27|principles|81| Arizona illegal immigration law|": ""we already have plenty of federal immigration laws on the books, and the typical illegal alien is guilty of breaking many of them. What we need is for the executive branch to enforce the laws that we already have."""|Pro|Arizona immigration law merely enforces existing law|__UNKNOWN__|(__UNKNOWN__:1)
854|27|principles|81| Arizona illegal immigration law|"Arizona Governor Jan Brewer said at the bill-signing: ""Border-related violence and crime due to illegal immigration are critically important issues to the people of our state. We cannot sacrifice our safety to the murderous greed of drug cartels. We cannot stand idly by as drop houses, kidnappings and violence compromise our quality of life."""|Pro|Arizona has every right to fight illegal immigration|__UNKNOWN__|(__UNKNOWN__:1)
855|27|principles|81| Arizona illegal immigration law|": ""I agree that there's something ugly about the police asking citizens for their 'papers.' (There's nothing particularly ugly about asking illegal immigrants for their papers, though.) There's also something ugly about American citizens being physically searched at airports, or about IRS agents prying into nearly all of your personal-financial transactions or, thanks to the passage of ObamaCare, serving as health insurance enforcers. In other words, many government functions are unappealing. That's not in itself an argument against them. The Patriot Act was ugly – and necessary."""|Pro|Arizona immigration law awkward, but necessary|__UNKNOWN__|(__UNKNOWN__:1)
856|27|principles|81| Arizona illegal immigration law|": ""The law, badly needed to fight the vicious foreign-born crime epidemic that illegal immigration nurtures in Arizona, bears little resemblance to the fear-mongering claims of the law’s opponents."""|Pro|Fear-mongering surrounding Arizona law is unjustified|__UNKNOWN__|(__UNKNOWN__:1)
857|27|principles|81| Arizona illegal immigration law|": ""Arizona's draconian new immigration law is an abomination -- racist, arbitrary, oppressive, mean-spirited, unjust. About the only hopeful thing that can be said is that the legislation, which Republican Gov. Jan Brewer signed Friday, goes so outrageously far that it may well be unconstitutional."""|Con|Arizona illegal immigration law is indecent & mean-spirited|__UNKNOWN__|(__UNKNOWN__:1)
858|27|principles|81| Arizona illegal immigration law|": ""This law creates a suspect class, based in part on ethnicity, considered guilty until they prove themselves innocent. It makes it harder for illegal immigrants to live without scrutiny -- but it also makes it harder for some American citizens to live without suspicion and humiliation. Americans are not accustomed to the command 'Your papers, please,' however politely delivered."""|Con|Arizona law creates a class of suspects|__UNKNOWN__|(__UNKNOWN__:1)
859|27|principles|81| Arizona illegal immigration law|": ""many of Arizona's roughly 2 million Latinos are wondering about how this law will affect their personal freedom. They are concerned for their children's safety. They are searching for identification documents for older relatives. Many Latinos, no doubt, will be afraid to venture out without 'papers,' even if they are legal residents or U.S. citizens. This type of fear has no place in our society."""|Con|Arizona law creates environment of fear and recrimination|__UNKNOWN__|(__UNKNOWN__:1)
860|27|principles|81| Arizona illegal immigration law|"Singer Linda Ronstadt. “My family, of both German and Mexican heritage, has a long history in Arizona. It has been our diverse and shared history in this state that unites us and makes us stronger. What Governor Brewer signed into law last week is a piece of legislation that threatens the very heart of this great state."""|Con|Statements against Arizona immigration law|__UNKNOWN__|(__UNKNOWN__:1)
861|145|reasonable suspicion|81| Arizona illegal immigration law|": ""[Argument:] 'Reasonable suspicion' is a meaningless term that will permit police misconduct. [Counter-argument:] Over the past four decades, federal courts have issued hundreds of opinions defining those two words. The Arizona law didn’t invent the concept: Precedents list the factors that can contribute to reasonable suspicion; when several are combined, the 'totality of circumstances' that results may create reasonable suspicion that a crime has been committed. [...] For example, the Arizona law is most likely to come into play after a traffic stop. A police officer pulls a minivan over for speeding. A dozen passengers are crammed in. None has identification. The highway is a known alien-smuggling corridor. The driver is acting evasively. Those factors combine to create reasonable suspicion that the occupants are not in the country legally."""|Pro|"Arizona cops will justly apply ""reasonable suspicion"" of illegals"|__UNKNOWN__|(__UNKNOWN__:1)
862|145|reasonable suspicion|81| Arizona illegal immigration law|": ""The amended law limits such inquiries to instances when cops make a lawful stop, detention or arrest in the course of enforcing some other law or local ordinance. But including local ordinances as grounds for an immigration inquiry opens all kinds of tantalizing harassment possibilities for officials like Joe Arpaio--the notorious but popular Arizona sheriff who has made it his personal mission to root out undocumented aliens from the state by launching crime sweeps in Latino communities on the flimsiest of pretexts. [...] Under the new law, Arpaio could troll Hispanic neighborhoods demanding the papers of anyone breaking, say, a local pooper-scooper law while walking their dogs."""|Con|Cops will trump up charges in order to find illegals|__UNKNOWN__|(__UNKNOWN__:1)
