argument_id|frame_id|frame|topic_id|topic|premise|stance|conclusion
2824|283|equality|303| Civil unions vs. gay marriage|": ""the Illinois Religious Freedom and Protection Civil Unions Act (HB 2234) passed a House committee and is now on its way to the House floor, potentially making Illinois the first state in the Midwest to legalize civil unions. [...] If the bill were to become a law, it would be a simple, but highly effective solution in allowing same sex couples the same benefits, rights and responsibilities of a marriage without changing Illinois marriage laws."""|Yes|Civil unions give gays equal benefits w/o changing marriage laws
2825|283|equality|303| Civil unions vs. gay marriage|": ""And one more suggestion: To avoid charges of separate but unequal, make civil unions open to straight couples."""|Yes|"Civil unions are not ""separate, but unequal"" if heterosexuals can do it"
2826|283|equality|303| Civil unions vs. gay marriage|This is a common argument against gay marriage, and sometimes underlies the position of those that reluctantly are willing to accept civil unions. But, the premise is that homosexuality is immoral and wrong, so efforts for full equality through gay marriage are misplaced. If civil unions are unequal, the argument goes, than it is, nonetheless, fitting. This argument is not supported by most advocates of civil unions with equal benefits, but by some.|Yes|Homosexuality is wrong along with equal rights by gay marriage.
2827|283|equality|303| Civil unions vs. gay marriage|"Barack Obama said in March of 2008: ""I believe in civil unions that allow a same-sex couple to visit each other in a hospital or transfer property to each other."""|Yes|General statements in favor of civil unions over gay marriage
2828|283|equality|303| Civil unions vs. gay marriage|. In so far as the equal protection clause of the U.S. Constitution applies to homosexuals and marriage, they have the same right to enter into the same type of traditional marriage contract. Even without civil unions they are equal in the eyes of the law.|Yes|Homosexuals have the same right to marry members of the opposite sex
2829|283|equality|303| Civil unions vs. gay marriage|": ""Marriage, under any interpretation of American constitutional law, is among the most basic civil rights."""|No|The right to marry is a basic human right
2830|283|equality|303| Civil unions vs. gay marriage|"During the 50s and 60 in the United States, a segregationist principle was established called ""separate but equal"" under the Jim Crow laws of the time. This was struck down by the Massachusetts Supreme Judicial Court, who wrote: ""The history of our nation has demonstrated that separate is seldom, if ever, equal."" Civil unions are precisely the same arrangement, attempting to give gays a ""separate"" arrangement than marriage, while conferring ""equal"" benefits. But, because ""separate can never be equal"", civil unions can never equal. Civil unions, therefore, are unequal, segregationist, and discriminatory, just as were the ""separate but equal"" laws of the past."|No|"Civil unions are ""separate, but not equal"""
2831|283|equality|303| Civil unions vs. gay marriage|"The idea that opening civil unions to straights solves the problem of civil unions be ""separate, but unequal"" fails a very simple test. While heterosexuals may have equal access to civil unions, do gays have equal access to marriage? No. Clearly, therefore, allowing straights to participate in civil unions while continuing to deny gays the right to marry does not nullify the argument that civil unions are akin to ""separate but equal"" and actually unequal."|No|"Civil unions still ""separate, but equal"" if straights can do it."
2832|246|discrimination|303| Civil unions vs. gay marriage|"While some argue that gay marriage violates : ""For most Americans, marriage is a religious sacrament or ceremony. If the definition of marriage is changed to allow SSM, some religious individuals and groups feel that they will become at risk of having to violate their beliefs by being forced to marry same-sex couples."""|Pro|Gay marriage violates freedoms of religious groups
2833|246|discrimination|303| Civil unions vs. gay marriage|": ""And while most Americans who favor keeping marriage as it has customarily been would prefer no legal recognition of same-sex unions at either the federal or the state level, we believe that they can live with federal civil unions — provided that no religious groups are forced to accept them as marriages. Many of these people may come to see civil unions as a compassionate compromise. For example, a PBS poll last fall found that 58 percent of white evangelicals under age 30 favor some form of legal same-sex union."" [This all suggests that civil unions will be met with greater respect from the general American population, instead of the kind of recrimination that can lead to hatred and descrimination."|Pro|Many opponents of gay marriage are tolerant of civilian unions
2834|246|discrimination|303| Civil unions vs. gay marriage|": ""4. A separate and unequal status invites others to discriminate. When the government decides one group cannot have the same choice as others, it marks them as inferior and invites others to discriminate against them as well, including employers, businesses, police, emergency room workers and others."""|Con|Civil unions invite second-class treatment and discrimination
2835|246|discrimination|303| Civil unions vs. gay marriage|": ""3. A civil union has to be explained and does not get the same respect as a marriage""]: ""Only the word married conveys the universally understood meaning applicable to the lifetime commitment many couples make. Marriage has a meaning unmatched by any other word. Regardless of whether civil unions and marriage offer the same benefits and obligations on paper, when the government relegates same-sex couples to civil unions rather than marriage, it forces them to explain the difference at work, at school, in hospitals and elsewhere. Those couples lose the respect and dignity that they deserve for their commitment to be responsible for each other."""|Con|Civil unions have to be explained; unequal status with marriage
2836|162|benefits|303| Civil unions vs. gay marriage|": ""Imagine a scenario where Congress passes a law that extends federal benefits to couples that are joined in a civil union. This would respond to those who argue that the only way to obtain federal benefits is through legal marriage and assuages those who want to leave the definition of marriage untouched."""|Pro|Civil unions would give gays all the benefits of marriage
2837|162|benefits|303| Civil unions vs. gay marriage|While many argue that civil unions sometimes deprive couples of certain rights given to those in gay marriages, many existing laws and many proposals and legislation on the table would see every single right given to married couples also given to couples with civil unions. Civil unions, therefore, do not inherently involve depriving couples of the various benefits outlined by the opposition.|Pro|Many laws already give civil unions equal benefits as marriage.
2838|162|benefits|303| Civil unions vs. gay marriage|": ""3. Civil unions in other states, unlike those in Connecticut and Vermont, would probably include a smaller number of benefits and entitlements than marriage, making them far from equal. But however hard this is to swallow, here again the point is to get a process started. Even if lessor variations on civil unions offer minimal benefits (e.g., hospital visitation), it is almost inevitable that as legislators and the public become comfortable with gay couples in formalized relationships, they will feel more comfortable adding additional benefits over time. [...] That model has worked well in California where gay couples have obtained more and more benefits with each legislative session. It has also worked in several European countries that have gradually added benefits, in some cases resulting in marriage itself. Most U.S. surveys show majority support for providing some benefits for gay couples. So let us work on obtaining those and then go on to others as the public comfort grows. If you cannot get all the justice you want, take what justice you can get and then work for more."""|Pro|Civil unions can be pushed to include equal benefits as marriage
2839|162|benefits|303| Civil unions vs. gay marriage|": ""A commission established to study same-sex civil unions in New Jersey has found in its first report that civil unions create a 'second-class status' for gay couples, rather than giving them equality.[...] [the report] find[s] that gay couples in Massachusetts, the only state that now allows same-sex marriage, do not experience some of the legal complications that those in New Jersey do [where there are civil unions]."""|Con|Civil couples meet greater legal complications than married gays
2840|162|benefits|303| Civil unions vs. gay marriage|": ""Imposing Civil Unions Creates More Harms Outside The State. The federal government and some other states disrespect same-sex married couples when they cross state lines or deal with federal taxes or social security. When a couple's own state creates a separate status for them, it makes them even more vulnerable. As a result, same-sex couples are increasingly avoiding tourist destinations in states that bar them from legal protections, and national membership organizations and multi-state employers have begun to consider policies that avoid planning conventions, conferences or meetings in states where some members or employees may not feel that they are adequately safe as a legal matter (see the Safety Scale below). The more vulnerable couples are, the more time, trouble and expense for them to get protective legal documents (see the life-planning toolkit below)."""|Con|Civil unions are not necessarily recognized out of state
2841|162|benefits|303| Civil unions vs. gay marriage|With marriage, partners can make emergency decisions across state lines. This means that partners in civil unions may not be able to make decisions out of state. This is an additional reason why civil unions create unequal rights and second class status.|Con|Partners can only make medical decisions in the registered state.
2842|162|benefits|303| Civil unions vs. gay marriage|Married couples can file both federal and state tax returns jointly. Civil Union couples can only file jointly in the state of civil registration. This is an additional way in which civil unions create unequal rights and second class status.|Con|Civil partners can only file taxes in registered state.
2843|162|benefits|303| Civil unions vs. gay marriage|Married partners can transfer gifts to each other without tax penalty. Civil partners do not pay state taxes, but are required to report federal taxes.|Con|Civil partners must pay federal taxes on transfered gifts.
2844|162|benefits|303| Civil unions vs. gay marriage|In the case of a married partner's death, a spouse receives any earned Social Security or veteran benefits. In the case of civil unions, partners do not receive Social Security or any other government benefits in the case of death.|Con|Civil partners must pay federal taxes on death benefits.
