argument_id|frame_id|frame|topic_id|topic|premise|stance|conclusion|genericFrame|fuzzyFrame
1845|303|workers|166| Ban on smoking in public places|"Opponents of a ban often argue that employees at smoking institutions can simply get another job at a non-smoking institution, and thus such workers are voluntarily subjecting themselves to being ""passive smokers"". Yet, are they really freely making this choice? Many supporters of a smoking ban posit that a job is not something that is easily replaceable. There are many factors that may limit a workers ability to freely shift jobs like 1)Job-markets are tight. 2)A worker's family depends on a worker's income from a job. 3)The time (and therefore money) required of an employee to find another job is limited. 4)Other job opportunities are less lucrative (frequently the case in service industries such as bars, clubs, and restaurants), and so the ability or reasoned-impetus to ""choose"" a different job is heavily constrained."|Yes|Many workers can't simply quite an unhealthy, smoky work environment.|__UNKNOWN__|(__UNKNOWN__:1)
1846|303|workers|166| Ban on smoking in public places|It can be argued that, if a worker objects to inhaling second hand smoke involuntarily at their work place, that they can choose to work somewhere else. There are many careers that people choose to partake in that involve substantial risk or inherent bodily or mental harm or strain. These include:|No|Workers can choose to work at non-smoking institutions.|__UNKNOWN__|(__UNKNOWN__:1)
1847|303|workers|166| Ban on smoking in public places|"Various forms of physical, mental, tangible, and less tangible forms of harm are frequently involved in the jobs that workers choose to perform. Yet, these harms are often accepted as meaningful sacrifices that workers are free to take-up when they deem these harms to be outweighed by the benefits of such employment. As long as their ability is maitained to calculate such benefits and costs and make a free ""choice"" to stick with such a job, then the arrangement could be argued as just. If workers in smoke-filled environments are free to make such calculations of costs and benefits, then it can be argued that their arrangement is fair, and that cigarette bans in such public environments should not be required on this basis."|No|Smoky work environments are not different that other harmful lines of work.|__UNKNOWN__|(__UNKNOWN__:1)
1848|248|choice|166| Ban on smoking in public places|In many places, there are no non-smoking bars or restaurants. Unless people refuse to go out with friends who smoke, they cannot avoid passive smoking. People who work in smoky workplaces like bars often do not freely choose this and sometimes there are no other jobs are available for them. In most countries, safety standards do not allow workers to be exposed to unnecessary danger, even if they agree. Workers should not be exposed to other people’s smoke, since they may not have made a free choice to do so.|Yes|Is it wrong to say that people choose to smoke passively.|__UNKNOWN__|(__UNKNOWN__:1)
1849|248|choice|166| Ban on smoking in public places|Society accepts that adults can decide to harm themselves to some extent, so long as they do not harm others. This is why the proposition is not arguing that people should be banned from smoking in private. Passive smokers do choose to breathe in other people’s smoke. If they do not want to smoke passively, they do not need to go to places where smoking is allowed. There is therefore no reason to ban smoking in public.|No|People can leave smoking areas to avoid harm.|__UNKNOWN__|(__UNKNOWN__:1)
1850|248|choice|166| Ban on smoking in public places|Non-smoking bars are rare in the United States. This suggests that culture is accepting of people who smoke in bars. It is the norm for Americans to drink beer and smoke. Most people who go to bars must not mind smoke that much. If they did, they would not go. While for some non-smokers, the presence of smoke may be bothersome, but it is usually not a dealbreaker.|No|The demand for non-smoking bars has been low.|__UNKNOWN__|(__UNKNOWN__:1)
1851|248|choice|166| Ban on smoking in public places|Workers should be allowed to choose to work in dangerous conditions. This is accepted for jobs like mining, fishing and the armed forces. Individuals decide that they are better doing this work than not having a job at all.|No|Workers are free to choose to quit a smoky, unhealthy working environment.|__UNKNOWN__|(__UNKNOWN__:1)
1852|248|choice|166| Ban on smoking in public places|A person should have a choice to go into a non-smoking restaurant or a non-smoking section of a restaurant. It should remain optional. Restaurants are currently required by most states to require a non-smoking section. A ban would be unnecessary at this point.|No|A complete ban is not necessary to give people a choice.|__UNKNOWN__|(__UNKNOWN__:1)
1853|304|protecting non-smokers|166| Ban on smoking in public places|Scientists have agreed that smoking is dangerous as tobacco smoke causes cancer, strokes and heart disease. Smoking does not just harm the smoker. It also harms people nearby, who breathe in the smoke. This kind of smoking is called passive smoking. Smokers choose to smoke, but people nearby do not choose to smoke passively. Most argue that people should only be exposed to harm if they understand the risks and choose to accept them. A complete ban on smoking in public is needed to protect people from passive smoking. Research suggests that partners of smokers have an increased chance of developing lung cancer, even if they do not use tobacco products. It is estimated that passive smoking kills approximately 80 000 people in the EU alone every year. (Brussels estimates that 15% of all deaths in the EU could be attributed to smoking.)|Yes|Public smoking ban protects health of non-smokers.|__UNKNOWN__|(__UNKNOWN__:1)
1854|304|protecting non-smokers|166| Ban on smoking in public places|One's freedom to swing one's fist ends where someone else's nose begins. Similarly, the right to smoke ends exactly where it comes into conflict with the lungs, nasal passages, and health of others. Public places are such a place and - for example - non-smokers account for 70% of EU population. Therefore, in order to maintain the rights of non-smokers, smoking in public places should be banned.|Yes|Public smoking ban protects rights of non-smokers.|__UNKNOWN__|(__UNKNOWN__:1)
